,Unnamed: 0,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm)
0,81,5.5,2.4,3.7,1.0
1,133,6.3,2.8,5.1,1.5
2,137,6.4,3.1,5.5,1.8
3,75,6.6,3.0,4.4,1.4
4,109,7.2,3.6,6.1,2.5
5,96,5.7,2.9,4.2,1.3
6,105,7.6,3.0,6.6,2.1
7,66,5.6,3.0,4.5,1.5
8,0,5.1,3.5,1.4,0.2
9,122,7.7,2.8,6.7,2.0
10,67,5.8,2.7,4.1,1.0
11,28,5.2,3.4,1.4,0.2
12,40,5.0,3.5,1.3,0.3
13,44,5.1,3.8,1.9,0.4
14,60,5.0,2.0,3.5,1.0
15,123,6.3,2.7,4.9,1.8
16,24,4.8,3.4,1.9,0.2
17,25,5.0,3.0,1.6,0.2
18,23,5.1,3.3,1.7,0.5
19,94,5.6,2.7,4.2,1.3
20,39,5.1,3.4,1.5,0.2
21,95,5.7,3.0,4.2,1.2
22,117,7.7,3.8,6.7,2.2
23,47,4.6,3.2,1.4,0.2
24,97,6.2,2.9,4.3,1.3
25,113,5.7,2.5,5.0,2.0
26,33,5.5,4.2,1.4,0.2
27,138,6.0,3.0,4.8,1.8
28,101,5.8,2.7,5.1,1.9
29,62,6.0,2.2,4.0,1.0
30,84,5.4,3.0,4.5,1.5
31,148,6.2,3.4,5.4,2.3
32,53,5.5,2.3,4.0,1.3
33,5,5.4,3.9,1.7,0.4
34,93,5.0,2.3,3.3,1.0
35,111,6.4,2.7,5.3,1.9
36,49,5.0,3.3,1.4,0.2
37,35,5.0,3.2,1.2,0.2
38,80,5.5,2.4,3.8,1.1
39,77,6.7,3.0,5.0,1.7
40,34,4.9,3.1,1.5,0.2
41,114,5.8,2.8,5.1,2.4
42,7,5.0,3.4,1.5,0.2
43,43,5.0,3.5,1.6,0.6
44,70,5.9,3.2,4.8,1.8
45,98,5.1,2.5,3.0,1.1
46,120,6.9,3.2,5.7,2.3
47,83,6.0,2.7,5.1,1.6
48,134,6.1,2.6,5.6,1.4
49,135,7.7,3.0,6.1,2.3
50,89,5.5,2.5,4.0,1.3
51,8,4.4,2.9,1.4,0.2
52,13,4.3,3.0,1.1,0.1
53,119,6.0,2.2,5.0,1.5
54,125,7.2,3.2,6.0,1.8
55,3,4.6,3.1,1.5,0.2
56,17,5.1,3.5,1.4,0.3
57,38,4.4,3.0,1.3,0.2
58,72,6.3,2.5,4.9,1.5
59,136,6.3,3.4,5.6,2.4
60,6,4.6,3.4,1.4,0.3
61,112,6.8,3.0,5.5,2.1
62,100,6.3,3.3,6.0,2.5
63,2,4.7,3.2,1.3,0.2
64,63,6.1,2.9,4.7,1.4
65,54,6.5,2.8,4.6,1.5
66,126,6.2,2.8,4.8,1.8
67,50,7.0,3.2,4.7,1.4
68,115,6.4,3.2,5.3,2.3
69,46,5.1,3.8,1.6,0.2
70,139,6.9,3.1,5.4,2.1
71,61,5.9,3.0,4.2,1.5
72,147,6.5,3.0,5.2,2.0
73,79,5.7,2.6,3.5,1.0
74,59,5.2,2.7,3.9,1.4
75,91,6.1,3.0,4.6,1.4
76,41,4.5,2.3,1.3,0.3
77,58,6.6,2.9,4.6,1.3
78,90,5.5,2.6,4.4,1.2
79,48,5.3,3.7,1.5,0.2
80,88,5.6,3.0,4.1,1.3
81,107,7.3,2.9,6.3,1.8
82,124,6.7,3.3,5.7,2.1
83,21,5.1,3.7,1.5,0.4
84,57,4.9,2.4,3.3,1.0
85,144,6.7,3.3,5.7,2.5
86,129,7.2,3.0,5.8,1.6
87,37,4.9,3.6,1.4,0.1
88,140,6.7,3.1,5.6,2.4
89,1,4.9,3.0,1.4,0.2
90,52,6.9,3.1,4.9,1.5
91,130,7.4,2.8,6.1,1.9
92,103,6.3,2.9,5.6,1.8
93,99,5.7,2.8,4.1,1.3
94,116,6.5,3.0,5.5,1.8
95,87,6.3,2.3,4.4,1.3
96,74,6.4,2.9,4.3,1.3
97,121,5.6,2.8,4.9,2.0
98,149,5.9,3.0,5.1,1.8
99,20,5.4,3.4,1.7,0.2
100,71,6.1,2.8,4.0,1.3
101,106,4.9,2.5,4.5,1.7
102,14,5.8,4.0,1.2,0.2
103,92,5.8,2.6,4.0,1.2
104,102,7.1,3.0,5.9,2.1
